movieCd,title,openDt,nation,genre,director,company,budgets
20200154,킬링 로맨스,20230414,한국,코미디,이원석,(주)영화사 이창,7500000000
20226489,리바운드,20230405,한국,드라마,장항준,(주)비에이엔터테인먼트,7000000000
20214823,유령,20230118,한국,드라마,이해영,더램프(주),13700000000
20231931,슈가: 로드 투 디데이,20230616,한국,다큐멘터리,박준수,(주)하이브,
20231523,그 여름,20230607,한국,애니메이션,한지원,(주)레드독컬처하우스 ,56000000
20232220,"2022 영탁 단독 콘서트 ""탁쇼""",20230628,한국,공연,송승연,씨제이 씨지브이(CJ CGV)(주),
20231437,문재인입니다,20230510,한국,다큐멘터리,이창재,다이스필름(주),1590000000
20232183,비의도적 연애담 스페셜,20230614,한국,드라마,장의순,주식회사 넘버쓰리픽쳐스,
20231106,아머드 사우루스: 기계공룡제국의 침략,20230420,한국,애니메이션,강대일,대원미디어(주),7500000000
20225865,옥수역귀신,20230419,한국,공포(호러),정용기,(주)영화사조아,1750000000
20231544,"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!>",20230503,한국,공연,홍승희,씨제이 씨지브이(CJ CGV)(주),
20231071,치치핑핑의 쿵쿵따 탐험대,20230410,한국,공연,이광범,(주)에픽캔,
20210544,웅남이,20230322,한국,코미디,박성광,(주)영화사김치,4000000000
20230495,아임 히어로 더 파이널,20230301,한국,공연,오윤동,씨제이포디플렉스 주식회사,
20215315,스위치,20230104,한국,기타,마대윤,(주)하이브미디어코프,
20190808,교섭,20230118,한국,드라마,임순례,(주)영화사수박,15000000000
20231042,빅토리,20240814,한국,드라마,박범수,(주)안나푸르나필름,8300000000
20248553,최소한의 선의,20241030,한국,드라마,김현정,(주)싸이더스,
20239670,베테랑2,20240913,한국,액션,류승완,(주)외유내강,13000000000
20228796,하얼빈,20241224,한국,드라마,우민호,(주)하이브미디어코프,30000000000
20190353,사흘,20241114,한국,공포(호러),현문섭,(주)아이필름코퍼레이션,
20233217,더 킬러스,20241023,한국,드라마,이명세,(주)빅인스퀘어,200000000
20212352,1승,20241204,한국,드라마,신연식,(주) 루스이소니도스,
20247017,대가족,20241211,한국,드라마,양우석,게니우스 유한회사,9200000000
20218459,드라이브,20240612,한국,스릴러,박동희,(주)엠픽처스,
20212932,탈주,20240703,한국,액션,이종필,더램프(주),8000000000
20208245,핸섬가이즈,20240626,한국,코미디,남동협,(주)하이브미디어코프,4900000000
20200142,소방관,20241204,한국,드라마,곽경택,주식회사 에스크로드,9600000000
20204271,행복의 나라,20240814,한국,드라마,추창민,(주)파파스필름,12000000000
20234045,설계자,20240529,한국,범죄,이요섭,영화사 집,8000000000
20249733,사랑의 하츄핑,20240807,한국,애니메이션,김수훈,(주)에스에이엠지엔터테인먼트,3000000000
20232134,돌핀,20240313,한국,드라마,배두리,한국영화아카데미,500000000
20190300,보고타: 마지막 기회의 땅,20241231,한국,범죄,김성제,(주)영화사수박,13000000000
20233218,6시간 후 너는 죽는다,20241016,한국,스릴러,이윤석,(주)미스터리픽처스,3000000000
